,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
1000,ISR,1,0,0.0,-961.8,35.0,-1200.6,26.2
1001,ISR,1,0,0.0,-248.6,40.4,-593.2,7.8
1002,ISR,1,0,0.0,-910.8,13.3,-772.2,41.0
1003,ISR,1,0,0.0,-405.4,45.9,-769.8,12.7
1004,ISR,1,0,0.0,-516.6,56.3,-978.8,6.8
1005,ISR,1,0,0.0,-388.8,46.8,-798.6,9.0
1006,ISR,1,0,0.0,-702.6,30.4,-877.4,19.9
1007,ISR,1,0,0.0,-358.0,38.8,-692.8,8.7
1008,ISR,1,0,0.0,-290.4,30.0,-452.8,14.5
1009,ISR,1,0,0.0,-779.2,38.4,-1163.8,14.0
1010,ISR,1,0,0.0,-737.2,28.7,-866.4,23.3
1011,ISR,1,0,0.0,-578.0,18.1,-737.6,13.5
1012,ISR,1,0,0.0,-220.4,35.5,-526.0,7.5
1013,ISR,1,0,0.0,-185.6,43.0,-560.6,3.0
1014,ISR,1,0,0.0,-393.8,17.8,-522.4,10.1
1015,ISR,1,0,0.0,-324.2,23.8,-539.8,11.8
1016,ISR,1,0,0.0,-217.4,47.4,-669.2,7.0
1017,ISR,1,0,0.0,-479.8,46.0,-772.8,19.1
1018,ISR,1,0,0.0,-560.0,27.0,-732.6,17.5
1019,ISR,1,0,0.0,-559.4,43.8,-925.6,15.1
1020,ISR,1,0,0.0,-587.8,32.8,-841.6,13.7
1021,ISR,1,0,0.0,-338.6,39.3,-728.8,6.3
1022,ISR,1,0,0.0,-490.6,13.1,-526.0,18.1
1023,ISR,1,0,0.0,-193.8,32.3,-488.6,5.8
1024,ISR,1,0,0.0,-647.0,29.7,-837.6,22.6
1025,ISR,1,0,0.0,-533.2,24.5,-658.2,17.2
1026,ISR,1,0,0.0,-557.6,35.5,-775.6,20.8
1027,ISR,1,0,0.0,-359.6,27.7,-615.4,6.1
1028,ISR,1,0,0.0,-350.4,32.9,-671.8,9.6
1029,ISR,1,0,0.0,-353.8,11.1,-369.8,13.8
1030,ISR,1,0,0.0,-163.6,29.3,-420.6,5.2
1031,ISR,1,0,0.0,-251.2,42.2,-623.4,4.2
1032,ISR,1,0,0.0,-110.0,27.5,-396.8,3.9
1033,ISR,1,0,0.0,-327.2,22.6,-383.2,19.1
1034,ISR,1,0,0.0,-535.2,24.3,-742.6,14.4
1035,ISR,1,0,0.0,-284.0,27.6,-496.6,9.6
1036,ISR,1,0,0.0,-380.8,16.3,-488.4,9.5
1037,ISR,1,0,0.0,-424.0,71.9,-1060.0,11.9
1038,ISR,1,0,0.0,-305.8,30.7,-611.0,10.5
1039,ISR,1,0,0.0,-335.4,22.5,-477.6,14.3
1040,ISR,1,0,0.0,-254.2,32.9,-515.6,9.0
1041,ISR,1,0,0.0,-401.2,50.8,-784.0,10.6
1042,ISR,1,0,0.0,-284.4,15.3,-348.8,12.8
1043,ISR,1,0,0.0,-385.8,23.4,-499.2,16.9
1044,ISR,1,0,0.0,-529.8,26.9,-772.4,13.1
1045,ISR,1,0,0.0,-87.0,33.0,-344.2,3.7
1046,ISR,1,0,0.0,-212.0,56.8,-694.0,5.5
1047,ISR,1,0,0.0,-299.0,35.1,-585.8,8.4
1048,ISR,1,0,0.0,-488.8,33.1,-785.8,9.9
1049,ISR,1,0,0.0,-309.2,20.3,-372.0,17.2
1050,ISR,1,0,0.0,-388.8,24.1,-489.6,21.7
1051,ISR,1,0,0.0,-543.6,15.2,-559.8,25.3
1052,ISR,1,0,0.0,-522.4,31.9,-658.2,16.7
1053,ISR,1,0,0.0,-158.8,34.1,-477.6,3.3
1054,ISR,1,0,0.0,-311.6,29.8,-508.0,12.5
1055,ISR,1,0,0.0,-235.2,16.3,-238.4,17.2
1056,ISR,1,0,0.0,-656.8,29.8,-814.6,20.1
1057,ISR,1,0,0.0,-561.4,12.5,-666.0,14.9
1058,ISR,1,0,0.0,-427.2,14.3,-525.6,13.1
1059,ISR,1,0,0.0,-325.0,30.0,-531.4,13.4
1060,ISR,1,0,0.0,-375.4,17.5,-505.2,10.4
1061,ISR,1,0,0.0,-197.0,11.3,-270.2,6.8
1062,ISR,1,0,0.0,-110.0,42.1,-485.2,6.8
1063,ISR,1,0,0.0,-295.0,23.1,-521.0,6.7
1064,ISR,1,0,0.0,-310.4,18.1,-418.8,7.8
1065,ISR,1,0,0.0,-122.0,34.9,-415.6,3.0
1066,ISR,1,0,0.0,-324.4,15.5,-358.4,18.2
1067,ISR,1,0,0.0,-154.8,25.5,-393.0,7.5
1068,ISR,1,0,0.0,-83.4,40.2,-417.2,4.8
1069,ISR,1,0,0.0,-134.2,29.1,-386.8,5.7
1070,ISR,1,0,0.0,-298.2,13.1,-352.2,12.9
1071,ISR,1,0,0.0,-378.4,17.0,-532.4,9.6
1072,ISR,1,0,0.0,-352.8,23.4,-523.4,10.2
1073,ISR,1,0,0.0,-278.0,21.7,-441.2,11.7
1074,ISR,1,0,0.0,-309.2,30.3,-594.6,10.2
1075,ISR,1,0,0.0,-251.4,22.6,-368.0,11.8
1076,ISR,1,0,0.0,-293.6,22.8,-476.8,12.3
1077,ISR,1,0,0.0,-257.8,15.8,-423.6,6.4
1078,ISR,1,0,0.0,-414.2,27.9,-552.6,18.1
1079,ISR,1,0,0.0,-228.8,28.3,-457.6,5.9
1080,ISR,1,0,0.0,-186.0,13.5,-249.6,9.9
1081,ISR,1,0,0.0,-105.8,11.6,-211.0,5.1
1082,ISR,1,0,0.0,-314.2,11.3,-335.6,14.4
1083,ISR,1,0,0.0,-539.6,20.9,-692.0,13.9
1084,ISR,1,0,0.0,-266.0,20.3,-389.4,11.7
1085,ISR,1,0,0.0,-196.0,19.6,-341.2,5.6
1086,ISR,1,0,0.0,-128.4,19.1,-316.8,4.7
1087,ISR,1,0,0.0,-387.6,18.4,-451.8,17.5
1088,ISR,1,0,0.0,-151.4,19.4,-316.6,7.9
1089,ISR,1,0,0.0,-271.6,14.5,-377.8,9.7
1090,ISR,1,0,0.0,-223.0,33.6,-457.2,14.1
1091,ISR,1,0,0.0,-158.4,21.3,-268.8,9.3
1092,ISR,1,0,0.0,-252.6,12.5,-334.2,8.8
1093,ISR,1,0,0.0,-178.2,14.7,-278.0,7.5
1094,ISR,1,0,0.0,-65.4,23.5,-280.2,4.4
1095,ISR,1,0,0.0,-153.2,19.9,-301.8,9.1
1096,ISR,1,0,0.0,-87.6,20.1,-238.0,6.5
1097,ISR,1,0,0.0,-147.6,14.4,-262.6,5.4
1098,ISR,1,0,0.0,-51.4,17.3,-192.4,3.6
1099,ISR,1,0,0.0,-175.8,7.6,-224.8,6.6
1100,ISR,1,0,0.0,-247.6,21.4,-456.8,7.9
1101,ISR,1,0,0.0,-488.2,13.2,-547.4,14.5
1102,ISR,1,0,0.0,-294.4,16.6,-451.4,8.6
1103,ISR,1,0,0.0,-121.0,19.4,-285.2,4.2
1104,ISR,1,0,0.0,-170.0,27.9,-411.0,5.1
1105,ISR,1,0,0.0,-344.8,17.4,-521.4,9.1
1106,ISR,1,0,0.0,-166.8,20.4,-319.6,8.0
1107,ISR,1,0,0.0,-119.2,13.0,-242.4,5.0
1108,ISR,1,0,0.0,-133.0,16.4,-220.0,7.9
1109,ISR,1,0,0.0,-201.6,13.4,-327.8,5.8
1110,ISR,1,0,0.0,-91.2,27.0,-276.6,6.3
1111,ISR,1,0,0.0,-142.0,21.1,-279.4,9.6
1112,ISR,1,0,0.0,-61.6,15.7,-217.4,3.2
1113,ISR,1,0,0.0,-230.8,19.3,-428.6,8.1
1114,ISR,1,0,0.0,-164.6,13.2,-290.0,6.2
1115,ISR,1,0,0.0,-182.0,27.0,-388.2,8.0
1116,ISR,1,0,0.0,-221.4,15.8,-333.2,9.8
1117,ISR,1,0,0.0,-162.0,10.6,-270.2,6.5
1118,ISR,1,0,0.0,-164.0,8.8,-240.8,9.3
1119,ISR,1,0,0.0,-73.4,19.5,-207.6,7.8
1120,ISR,1,0,0.0,-172.6,12.1,-256.2,8.9
1121,ISR,1,0,0.0,-102.0,23.1,-328.8,6.1
1122,ISR,1,0,0.0,-213.4,29.1,-363.0,12.7
1123,ISR,1,0,0.0,-97.2,18.1,-227.2,6.6
1124,ISR,1,0,0.0,-305.2,19.1,-491.0,9.3
1125,ISR,1,0,0.0,-69.8,17.8,-221.4,3.4
1126,ISR,1,0,0.0,-43.0,9.7,-120.6,3.8
1127,ISR,1,0,0.0,-41.4,15.3,-180.8,3.3
1128,ISR,1,0,0.0,-25.6,29.0,-235.6,5.6
1129,ISR,1,0,0.0,-155.0,20.1,-286.2,8.3
1130,ISR,1,0,0.0,-368.2,10.6,-346.6,21.8
1131,ISR,1,0,0.0,-157.8,12.5,-235.0,9.9
1132,ISR,1,0,0.0,-329.8,13.6,-423.6,17.7
1133,ISR,1,0,0.0,-180.0,17.8,-304.0,10.4
1134,ISR,1,0,0.0,22.8,11.4,-77.6,1.5
1135,ISR,1,0,0.0,-164.0,14.3,-280.6,6.7
1136,ISR,1,0,0.0,-151.4,22.1,-322.0,6.3
1137,ISR,1,0,0.0,-152.6,9.7,-242.2,9.5
1138,ISR,1,0,0.0,-167.6,15.4,-272.6,9.0
1139,ISR,1,0,0.0,-239.6,14.6,-357.8,7.8
1140,ISR,1,0,0.0,-227.2,25.0,-391.8,13.3
1141,ISR,1,0,0.0,-221.0,13.4,-277.6,12.0
1142,ISR,1,0,0.0,-70.4,11.6,-163.4,3.8
1143,ISR,1,0,0.0,-177.2,7.5,-195.6,10.2
1144,ISR,1,0,0.0,-113.6,10.8,-185.4,6.5
1145,ISR,1,0,0.0,-68.4,9.2,-106.0,4.9
1146,ISR,1,0,0.0,-59.8,20.3,-237.0,3.9
1147,ISR,1,0,0.0,-71.2,21.8,-258.2,3.4
1148,ISR,1,0,0.0,-158.6,14.7,-264.6,7.3
1149,ISR,1,0,0.0,-68.0,10.4,-165.6,4.4
1150,ISR,1,0,0.0,-47.6,19.6,-185.0,5.6
1151,ISR,1,0,0.0,-198.2,12.4,-262.6,11.3
1152,ISR,1,0,0.0,-52.4,15.4,-155.6,5.1
1153,ISR,1,0,0.0,-146.8,14.9,-278.4,6.6
1154,ISR,1,0,0.0,-147.6,21.5,-288.2,8.0
1155,ISR,1,0,0.0,-236.6,15.1,-315.2,14.3
1156,ISR,1,0,0.0,-108.0,13.3,-227.6,5.0
1157,ISR,1,0,0.0,-39.0,11.2,-100.6,6.2
1158,ISR,1,0,0.0,-26.2,10.9,-104.6,3.8
1159,ISR,1,0,0.0,-194.6,22.6,-364.6,9.6
1160,ISR,1,0,0.0,-40.6,10.2,-152.2,3.9
1161,ISR,1,0,0.0,-104.0,13.2,-217.6,4.8
1162,ISR,1,0,0.0,-97.0,17.8,-225.6,7.3
1163,ISR,1,0,0.0,-60.2,23.6,-211.2,4.5
1164,ISR,1,0,0.0,-392.8,19.5,-573.4,14.3
1165,ISR,1,0,0.0,-254.2,17.3,-372.6,10.1
1166,ISR,1,0,0.0,-162.8,12.8,-244.4,8.0
1167,ISR,1,0,0.0,-200.4,10.2,-230.0,12.9
1168,ISR,1,0,0.0,-198.6,18.8,-345.4,7.9
1169,ISR,1,0,0.0,-74.0,12.3,-145.2,8.2
1170,ISR,1,0,0.0,-62.4,7.0,-110.8,6.8
1171,ISR,1,0,0.0,-132.4,12.7,-182.2,9.4
